descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Casa com 3 Quartos à Venda, 110m²;Rua do Ouro, 185 - Guabirotuba, Curitiba - PR;110;3;2;1;R$ 490.000;;www.vivareal.com.br/imovel/casa-3-quartos-guabirotuba-bairros-curitiba-com-garagem-110m2-venda-RS490000-id-2554375928/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de   R$ 165.000;;www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 2 Quartos à Venda, 99m²;Rua do Herval, 611 - Cristo Rei, Curitiba - PR;99;2;3;2;R$ 780.000;R$ 500;www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-99m2-venda-RS780000-id-2554664925/
Casa de condomínio com 4 Quartos à Venda, 190m²;Rua Alfredo José Pinto, 1680 - Fazendinha, Curitiba - PR;190;4;3;2;R$ 790.000;R$ 130;www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-fazendinha-bairros-curitiba-com-garagem-190m2-venda-RS790000-id-2557756940/
Apartamento com 2 Quartos à Venda, 61m²;Rua João Alencar Guimarães, 1745 - Campo Comprido, Curitiba - PR;61;2;2;1;R$ 388.000;R$ 500;www.vivareal.com.br/imovel/apartamento-2-quartos-campo-comprido-bairros-curitiba-com-garagem-61m2-venda-RS388000-id-2555026597/
Apartamento com 2 Quartos à Venda, 48m²;Rua Tijucas do Sul, 2057 - Sitio Cercado Bairro Novo B, Curitiba - PR;48;2;1;1;R$ 155.000;R$ 296;www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS155000-id-2507825183/
Apartamento com 3 Quartos à Venda, 100m²;Avenida Presidente Affonso Camargo, 955 - Cristo Rei, Curitiba - PR;100;3;3;2;R$ 390.000;R$ 770;www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-100m2-venda-RS390000-id-2537867877/
Apartamento com 2 Quartos à Venda, 66m²;Rua Mariano Torres, 401 - Centro, Curitiba - PR;66;2;1;1;R$ 450.000;R$ 570;www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-66m2-venda-RS450000-id-2548184033/
Mont Tannat;Avenida Visconde de Guarapuava, 3116 - Centro, Curitiba - PR;32-72;1-2;1-2;1-3;R$ 279.700;;www.vivareal.com.br/imoveis-lancamento/mont-tannat-2535840602/
Casa com 6 Quartos à Venda, 300m²;Rua Vital Brasil, 99 - Portão, Curitiba - PR;300;6;6;7;R$ 650.000;;www.vivareal.com.br/imovel/sobrado-6-quartos-portao-bairros-curitiba-com-garagem-300m2-venda-RS650000-id-2556389521/
Apartamento com 3 Quartos à Venda, 93m²;Rua Jeremias Maciel Perretto, 646 - Campo Comprido, Curitiba - PR;93;3;2;2;R$ 610.000;R$ 600;www.vivareal.com.br/imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-93m2-venda-RS610000-id-2540256541/
Apartamento com 2 Quartos à Venda, 44m²;Rua Maria de Lourdes Kudri, 127 - Barreirinha, Curitiba - PR;44;2;1;--;R$ 140.000;R$ 312;www.vivareal.com.br/imovel/apartamento-2-quartos-barreirinha-bairros-curitiba-44m2-venda-RS140000-id-2556381814/
Apartamento com 3 Quartos à Venda, 77m²;Rua Nossa Senhora de Nazaré, 615 - Boa Vista, Curitiba - PR;77;3;2;1;R$ 567.000;R$ 350;www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS567000-id-2557155962/
Sobrado com 4 Quartos à Venda, 119m²;Rua Major Theolindo Ferreira Ribas, 3515 - Boqueirão, Curitiba - PR;119;4;2;2;R$ 530.000;;www.vivareal.com.br/imovel/sobrado-4-quartos-boqueirao-bairros-curitiba-com-garagem-119m2-venda-RS530000-id-2539743409/
